"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Mar 29 12:40:07 CST 2024","Fri Mar 29 12:40:28 CST 2024","20432","","test37","Test","","","test_001","Caso de prueba para verificar el</br>
login y </br>
registro en el aplicativo web de pruebas"
"passed","Sun Sep 10 14:06:29 CST 2023","Sun Sep 10 14:06:39 CST 2023","10061","src","Test_20","Test","","","test_001","Caso de prueba para verificar si la</br>
búsqueda de un artículo en </br>
en Mercado Libre funciona"
"passed","Sat Feb 10 16:02:10 CST 2024","Sat Feb 10 16:02:29 CST 2024","18270","src","test37","Test","","","test_002","Caso de prueba para verificar el</br>
login y </br>
registro en el aplicativo web de pruebas"
"passed","Fri Mar 29 12:40:28 CST 2024","Fri Mar 29 12:40:40 CST 2024","11918","","test37","Test","","","test_002","Caso de prueba para verificar el</br>
login y </br>
registro en el aplicativo web de pruebas"
"passed","Sat Feb 10 16:01:38 CST 2024","Sat Feb 10 16:02:10 CST 2024","32648","src","test37","Test","","","test_001","Caso de prueba para verificar el</br>
login y </br>
registro en el aplicativo web de pruebas"
